batch_size,num_hist,frameskip,T,num_episodes,num_workers,slices,train_samples,steps,training_ok,rollout_ok,vram_train_mib,vram_train_pct,vram_val_peak_mib,vram_val_peak_pct,val_overhead_pct,vram_ok,score,attention_seq_len,attention_mib
4,3,2,22,1000,2,15,13500,3375,True,True,8579.3,34.9,9877.5,40.2,15.1,True,3000.03,588,1394.4
8,3,2,22,500,2,15,6750,844,True,True,14599.9,59.4,16654.0,67.8,14.1,True,3000.12,588,2788.8
8,3,2,22,1000,2,15,13500,1688,True,True,14599.9,59.4,16654.0,67.8,14.1,True,3000.06,588,2788.8
16,3,2,22,500,2,15,6750,422,True,True,26641.0,108.5,30207.0,123.0,13.4,False,-1.0,588,5577.6
16,3,2,22,1000,2,15,13500,844,True,True,26641.0,108.5,30207.0,123.0,13.4,False,-1.0,588,5577.6
32,3,2,22,500,2,15,6750,211,True,True,50723.3,206.5,57312.9,233.3,13.0,False,-1.0,588,11155.1
32,3,2,22,1000,2,15,13500,422,True,True,50723.3,206.5,57312.9,233.3,13.0,False,-1.0,588,11155.1
4,3,3,22,500,2,11,4950,1238,True,True,8579.3,34.9,9872.7,40.2,15.1,True,3000.08,588,1394.4
4,3,3,22,1000,2,11,9900,2475,True,True,8579.3,34.9,9872.7,40.2,15.1,True,3000.04,588,1394.4
8,3,3,22,500,2,11,4950,619,True,True,14599.9,59.4,16649.1,67.8,14.0,True,3000.16,588,2788.8
8,3,3,22,1000,2,11,9900,1238,True,True,14599.9,59.4,16649.1,67.8,14.0,True,3000.08,588,2788.8
16,3,3,22,500,2,11,4950,310,True,True,26641.0,108.5,30202.1,123.0,13.4,False,-1.0,588,5577.6
16,3,3,22,1000,2,11,9900,619,True,True,26641.0,108.5,30202.1,123.0,13.4,False,-1.0,588,5577.6
32,3,3,22,500,2,11,4950,155,True,True,50723.3,206.5,57308.0,233.3,13.0,False,-1.0,588,11155.1
32,3,3,22,1000,2,11,9900,310,True,True,50723.3,206.5,57308.0,233.3,13.0,False,-1.0,588,11155.1
4,3,4,22,500,2,7,3150,788,True,False,8579.3,34.9,9869.4,40.2,15.0,True,-1.0,588,1394.4
4,3,4,22,1000,2,7,6300,1575,True,False,8579.3,34.9,9869.4,40.2,15.0,True,-1.0,588,1394.4
8,3,4,22,500,2,7,3150,394,True,False,14599.9,59.4,16645.9,67.8,14.0,True,-1.0,588,2788.8
8,3,4,22,1000,2,7,6300,788,True,False,14599.9,59.4,16645.9,67.8,14.0,True,-1.0,588,2788.8
